Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2023,"Janson Junk","MIL",0,1,0,2,1,7.1,6.1363647003806205,2.454545880152248,1.227272940076124,0.28,0.58139535,0.583333333,0.166666666,92.4798095703125,4.909091760304496,,4.482313299573194,4.06232829816349,0.056286491453647614,"Janson Junk",23301,676083
2022,"Hyun Jin Ryu","TOR",2,0,0,6,6,27,5.333333333333333,1.3333333333333333,1.6666666666666667,0.3068181818181818,0.65517241,0.456521739,0.147058823,89.41326583059211,5.666666666666667,,4.779097668329875,4.235859139981093,0.05543501302599907,"Hyun Jin Ryu",14444,547943
2023,"Trey Wingenter","DET",1,0,0,17,0,17,11.647060130294365,3.7058827687300253,1.0588236482085787,0.3333333333333333,0.64655172,0.431818181,0.111111111,95.96571320564516,5.823530065147183,,3.960922791636123,4.18211879122436,0.054594822227954865,"Trey Wingenter",17793,622259
2023,"Nick Lodolo","CIN",2,1,0,7,7,34.1,12.320388805811199,2.6213593203853613,2.6213593203853613,0.43478260869565216,0.81132075,0.46,0.27027027,93.86154840225564,6.291262368924867,,5.789021035869586,3.7843806187954785,0.05410195142030716,"Nick Lodolo",26378,666157
2024,"Scott Blewett","MIN",1,1,0,12,0,20.1,7.967214360348804,3.5409841601550243,0.8852460400387561,0.26785714285714285,0.90517241,0.413793103,0.105263157,93.60266676682693,1.7704920800775121,,4.002545482770842,4.136717293167703,0.05407659709453583,"Scott Blewett",16427,656240
2022,"Luis Cessa","CIN",4,4,0,46,10,80.2,6.582645146917323,3.1239671883675433,1.5619835941837716,0.26609442060085836,0.71759259,0.487704918,0.168674698,93.45086408681907,4.574380525823902,,5.021522061221152,4.2885136628930365,0.05397754907608032,"Luis Cessa",13345,570666
2023,"Trent Thornton","- - -",1,2,0,27,1,31.1,7.468086091357284,1.7234044826209116,1.436170402184093,0.2840909090909091,0.82758621,0.397849462,0.131578947,94.01029988078328,2.0106385630577304,,4.244402192112779,4.175062820736825,0.053932420909404755,"Trent Thornton",17948,663423
2024,"Peter Strzelecki","CLE",0,0,0,10,0,11.2,6.942858656280225,2.314286218760075,0.7714287395866917,0.30303030303030304,0.88235294,0.411764705,0.1,92.3494384765625,2.314286218760075,,3.766479909079444,3.9482014397389085,0.0537494458258152,"Peter Strzelecki",21367,657265
2024,"Steven Matz","STL",1,2,0,12,7,44.1,6.699248312448152,3.0451128692946146,1.4210526723374868,0.3157894736842105,0.67615658,0.401459854,0.142857142,,5.0751881154910246,,4.880765541744541,4.499301137680204,0.05338897183537483,"Steven Matz",13361,571927
2024,"Richard Lovelady","- - -",3,6,2,35,0,34.1,6.815535179574915,2.8834956528970794,0.786407905335567,0.29523809523809524,0.67757009,0.509433962,0.09090909,92.52760118541151,4.4563114635682135,,3.92376146490923,4.241128823808276,0.05321279726922512,"Richard Lovelady",19337,663992
