Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2024,"Trevor Story","BOS",26,106,2,8,10,6,0.103773584,0.311320754,0.138297873,0.372881355,0.255319148,0.339622641,0.393617021,0.10094399107140672,2.5367413759231567,0.6373527920400727,"Trevor Story",12564,596115
2024,"George Springer","TOR",145,614,19,74,56,16,0.097719869,0.187296416,0.150458715,0.244552058,0.220183486,0.303425774,0.370642201,-0.05888233545525434,-8.931583285331726,1.1853749575319605,"George Springer",12856,543807
2024,"James McCann","BAL",66,233,8,27,31,1,0.055793991,0.240343347,0.154205608,0.272727272,0.233644859,0.278969957,0.387850467,-4.378367877931756,-1.4677366018295288,0.19840403807404822,"James McCann",12859,543510
2024,"Anthony Rendon","LAA",57,238,0,21,14,6,0.096638655,0.147058823,0.04854369,0.257142857,0.218446601,0.306722689,0.266990291,-7.580776098704298,-1.1066474840044975,-0.07782686130863978,"Anthony Rendon",12861,543685
2024,"Francisco Lindor","NYM",152,689,33,107,91,29,0.081277213,0.184325108,0.226537217,0.295010845,0.273462783,0.343976777,0.5,34.83422180214676,17.421959400177002,7.766544138847506,"Francisco Lindor",12916,596019
2024,"Brandon Nimmo","NYM",151,663,23,88,90,15,0.116138763,0.238310708,0.175131348,0.267175572,0.224168126,0.32730015,0.399299474,9.497079439133365,-5.063769102096558,2.7380860706196786,"Brandon Nimmo",12927,607043
2024,"Austin Hedges","CLE",66,146,2,12,15,2,0.04109589,0.342465753,0.068181818,0.219512195,0.151515151,0.202797202,0.219696969,-14.064118949694123,13.231413125991821,0.416651361904975,"Austin Hedges",12976,595978
2024,"Javier Báez","DET",80,289,6,25,37,8,0.041522491,0.238754325,0.110294118,0.22,0.183823529,0.221453287,0.294117647,-18.293916048126633,2.020239233970642,-0.685734187781166,"Javier Baez",12979,595879
2024,"Teoscar Hernández","LAD",154,652,33,84,99,12,0.081288343,0.288343558,0.229202037,0.344173441,0.271646859,0.339477726,0.500848896,26.757721119639807,-14.7934250831604,3.4780374070532964,"Teoscar Hernandez",13066,606192
2024,"Josh Bell","- - -",145,603,19,62,71,0,0.084577114,0.199004975,0.156133829,0.286069651,0.249070631,0.319397993,0.40520446,-3.587621170704967,-17.84879422187805,-0.140035566824376,"Josh Bell",13145,605137
2024,"Jorge Polanco","SEA",118,469,16,43,45,4,0.098081023,0.292110874,0.141486811,0.27443609,0.213429256,0.296375266,0.354916067,-5.760600973179114,-7.248030424118042,0.271179407558567,"Jorge Polanco",13152,593871
2024,"Orlando Arcia","ATL",157,602,17,50,46,2,0.068106312,0.212624584,0.136116153,0.249394673,0.217785843,0.271214642,0.353901996,-21.246936082449327,8.527732729911804,0.7568190493508427,"Orlando Arcia",13185,606115
2024,"Max Muncy","LAD",73,293,15,47,48,1,0.153583617,0.262798634,0.261603376,0.264900662,0.23206751,0.358361774,0.493670886,11.70323016310994,1.3220580518245697,2.3529229277303925,"Max Muncy",13301,571970
2024,"Ildemaro Vargas","WSN",97,303,1,21,30,9,0.06270627,0.102310231,0.069852941,0.269387755,0.246323529,0.295302013,0.31617647,-10.768667205311148,1.1034390926361084,0.043890434761524266,"Ildemaro Vargas",13324,545121
2024,"Omar Narváez","NYM",28,69,0,4,5,0,0.04347826,0.173913043,0.030769231,0.188679245,0.153846153,0.19117647,0.184615384,-7.698699649189834,-4.184684634208679,-0.9899805846988787,"Omar Narvaez",13338,553882
2024,"Luke Maile","CIN",55,154,2,8,8,2,0.084415584,0.337662337,0.074074074,0.268292682,0.177777777,0.267973856,0.251851851,-9.992846882927784,-1.9737130105495453,-0.7062343825500894,"Luke Maile",13355,571912
2024,"Christian Walker","ARI",130,552,26,72,84,2,0.099637681,0.240942028,0.217118998,0.286585365,0.25052192,0.335144927,0.467640918,9.442324060642985,1.2939977645874023,3.007289853447695,"Christian Walker",13419,572233
2024,"Tom Murphy","SFG",13,38,1,3,2,0,0.105263157,0.368421052,0.117647059,0.157894736,0.117647058,0.210526315,0.235294117,-3.1592011910222384,-2.8103492856025696,-0.4858300571529631,"Tom Murphy",13499,608596
2024,"José Ramírez","CLE",158,682,39,114,118,41,0.079178885,0.120234604,0.258064516,0.265346534,0.279032258,0.334801762,0.537096774,38.5137794567506,1.3195178508758545,6.461893920474574,"Jose Ramirez",13510,608070
2024,"Jesse Winker","- - -",145,508,14,63,58,14,0.124015748,0.208661417,0.15116279,0.303514376,0.253488372,0.359683794,0.404651162,8.294317264536835,-13.054877161979675,1.255480020815323,"Jesse Winker",13590,608385
2024,"Patrick Wisdom","CHC",75,174,8,16,23,5,0.057471264,0.339080459,0.221518988,0.206521739,0.170886075,0.236994219,0.392405063,-4.5368313069694315,-3.1843628883361816,-0.19899761896035878,"Patrick Wisdom",13602,621550
2024,"Mookie Betts","LAD",116,516,19,75,75,16,0.118217054,0.110465116,0.202222223,0.293650793,0.288888888,0.372093023,0.491111111,25.922823531073124,-0.6484513282775879,4.3849336296393275,"Mookie Betts",13611,605141
2024,"Ketel Marte","ARI",136,583,36,93,95,7,0.111492281,0.181818181,0.267857143,0.299191374,0.291666666,0.372212692,0.559523809,36.61713091071001,4.777853846549988,6.280263754420148,"Ketel Marte",13613,606466
2024,"Carson Kelly","- - -",91,313,9,32,37,0,0.079872204,0.175718849,0.135231317,0.266055045,0.238434163,0.313099041,0.37366548,-3.546827392291652,10.50499939918518,1.7962260282612386,"Carson Kelly",13620,608348
2024,"Jeimer Candelario","CIN",112,463,20,47,56,4,0.058315334,0.246220302,0.203747073,0.256756756,0.224824355,0.27861771,0.428571428,-7.731035171260558,-11.093475818634033,-0.35177924132260097,"Jeimer Candelario",13621,600869
2024,"Corey Seager","TEX",123,533,30,68,74,1,0.099437148,0.18011257,0.233684211,0.29059829,0.277894736,0.35272045,0.511578947,19.38432090676027,6.842841863632202,4.543703456258817,"Corey Seager",13624,608369
2024,"Jack López","LAA",27,71,1,4,6,0,0.028169014,0.352112676,0.089552239,0.390243902,0.253731343,0.285714285,0.343283582,-1.9505299492218189,-2.903623044490814,-0.2568858705049665,"Jack Lopez",13663,605346
2024,"Tyrone Taylor","NYM",130,345,7,47,35,11,0.055072463,0.231884057,0.153605016,0.309012875,0.247648902,0.299418604,0.401253918,-0.4626354120009577,0.9509975910186768,1.2369787565780437,"Tyrone Taylor",13675,621438
2024,"Jacob Stallings","COL",82,281,9,31,36,0,0.096085409,0.231316725,0.189300412,0.323529411,0.263374485,0.357142857,0.452674897,1.1723155813617474,-1.405439853668213,0.9423531683086067,"Jacob Stallings",13723,607732
2024,"David Dahl","PHI",19,62,3,6,8,0,0.048387096,0.338709677,0.189655173,0.257142857,0.206896551,0.241935483,0.396551724,-2.088712744936692,1.2733154892921448,0.12902122507264444,"David Dahl",13744,621311
2024,"Tomás Nido","- - -",49,140,4,14,12,0,0.035714285,0.25,0.123076923,0.225806451,0.192307692,0.218978102,0.315384615,-9.270317584065479,5.977683834731579,0.14143949311331216,"Tomas Nido",13755,621512
